"stid","year","video","participation","watch.time","confusion.points","key.points"
1,2018,"A",1,16.5,6,6
2,2018,"A",0,0,0,0
3,2018,"A",1,9,4,6
4,2018,"A",1,20,8,5
5,2018,"A",1,12,8,5
6,2018,"A",1,15,5,4
7,2018,"A",1,24.75,11,5
8,2018,"A",1,12,8,6
9,2018,"A",1,15,5,2
10,2018,"A",1,0,0,5
11,2018,"A",1,19.25,7,6
12,2018,"A",1,5,4,2
13,2018,"A",1,16,8,2
14,2018,"A",1,7.5,5,5
15,2018,"A",1,10,8,4
16,2018,"A",1,25,10,5
17,2018,"A",0,0,0,0
18,2018,"A",1,20.25,9,4
19,2018,"A",1,12,6,5
20,2018,"A",1,14,7,4
21,2018,"A",0,0,0,0
22,2018,"A",0,0,0,0
23,2018,"A",1,3,3,5
24,2018,"A",0,0,0,0
25,2018,"A",1,8.75,7,4
26,2018,"A",1,0,0,5
27,2018,"A",1,8,4,5
28,2018,"A",1,10,4,5
29,2018,"A",1,10,5,2
30,2018,"A",1,19.25,7,3
1,2018,"B",1,6,2,5
2,2018,"B",1,15,5,4
3,2018,"B",1,5,2,4
4,2018,"B",1,0,0,5
5,2018,"B",1,2,1,4
6,2018,"B",1,13.5,6,4
7,2018,"B",1,7,7,4
8,2018,"B",1,0,0,7
9,2018,"B",0,0,0,0
10,2018,"B",1,0,0,5
11,2018,"B",1,12,8,3
12,2018,"B",0,0,0,0
13,2018,"B",1,30,10,3
14,2018,"B",0,0,0,0
15,2018,"B",1,2,1,4
16,2018,"B",1,5.5,2,3
17,2018,"B",1,0,0,5
18,2018,"B",1,10,4,2
19,2018,"B",1,6,2,3
20,2018,"B",1,6,6,5
21,2018,"B",1,10.5,6,5
22,2018,"B",1,6,2,3
23,2018,"B",1,7.5,6,4
24,2018,"B",1,6,3,1
25,2018,"B",1,15.75,7,6
26,2018,"B",0,0,0,0
27,2018,"B",0,0,0,0
28,2018,"B",1,3,1,5
29,2018,"B",1,3,2,5
30,2018,"B",1,5,5,4
1,2018,"C",1,24,8,4
2,2018,"C",1,5.25,3,5
3,2018,"C",1,4,4,4
4,2018,"C",1,13.5,6,5
5,2018,"C",1,0,0,6
6,2018,"C",1,10.5,6,3
7,2018,"C",1,2.5,1,6
8,2018,"C",0,0,0,0
9,2018,"C",1,20.25,9,5
10,2018,"C",1,10,8,5
11,2018,"C",0,0,0,0
12,2018,"C",1,24,8,4
13,2018,"C",0,0,0,0
14,2018,"C",1,18,9,5
15,2018,"C",1,4,2,4
16,2018,"C",1,12,4,3
17,2018,"C",1,0,0,3
18,2018,"C",1,12,6,4
19,2018,"C",0,0,0,0
20,2018,"C",1,16.5,6,4
21,2018,"C",1,2.5,1,4
22,2018,"C",1,27,9,4
23,2018,"C",0,0,0,0
24,2018,"C",1,11.25,9,5
25,2018,"C",1,0,0,4
26,2018,"C",0,0,0,0
27,2018,"C",1,25,10,3
28,2018,"C",1,8,8,4
29,2018,"C",1,14,8,4
30,2018,"C",1,0,0,4
1,2018,"D",1,3,3,5
2,2018,"D",1,27.5,10,4
3,2018,"D",0,0,0,0
4,2018,"D",1,22,8,4
5,2018,"D",1,16.5,6,3
6,2018,"D",1,0,0,4
7,2018,"D",1,4,4,3
8,2018,"D",1,18,6,2
9,2018,"D",1,8,8,3
10,2018,"D",1,1,1,5
11,2018,"D",1,4,2,3
12,2018,"D",1,15.75,9,3
13,2018,"D",1,6,4,5
14,2018,"D",1,11.25,9,3
15,2018,"D",1,8,4,4
16,2018,"D",1,12.5,5,3
17,2018,"D",1,5.5,2,5
18,2018,"D",1,0,0,5
19,2018,"D",1,9,6,4
20,2018,"D",1,15,6,3
21,2018,"D",0,0,0,0
22,2018,"D",1,12,8,5
23,2018,"D",1,15,5,4
24,2018,"D",1,15,5,4
25,2018,"D",1,16.5,6,6
26,2018,"D",1,22,11,4
27,2018,"D",1,2,2,2
28,2018,"D",1,13.5,6,5
29,2018,"D",1,4,2,5
30,2018,"D",1,2.25,1,5
1,2018,"E",1,10,4,3
2,2018,"E",1,7.5,5,5
3,2018,"E",1,7,7,5
4,2018,"E",1,32.5,13,4
5,2018,"E",0,0,0,0
6,2018,"E",0,0,0,0
7,2018,"E",0,0,0,0
8,2018,"E",0,0,0,0
9,2018,"E",0,0,0,0
10,2018,"E",1,10,4,3
11,2018,"E",1,24,8,4
12,2018,"E",1,10,5,5
13,2018,"E",1,7,4,4
14,2018,"E",1,14,7,4
15,2018,"E",0,0,0,0
16,2018,"E",1,19.25,7,4
17,2018,"E",1,19.25,7,4
18,2018,"E",1,19.5,13,4
19,2018,"E",1,18,6,5
20,2018,"E",1,6.75,3,6
21,2018,"E",1,6,4,4
22,2018,"E",0,0,0,0
23,2018,"E",0,0,0,0
24,2018,"E",1,4.5,3,1
25,2018,"E",1,11,4,3
26,2018,"E",1,15.75,7,5
27,2018,"E",1,0,0,3
28,2018,"E",1,5,2,5
29,2018,"E",0,0,0,0
30,2018,"E",0,0,0,0
31,2019,"A",1,14,8,0
32,2019,"A",0,0,0,0
33,2019,"A",1,30,10,0
34,2019,"A",1,18,6,2
35,2019,"A",1,24,8,2
36,2019,"A",0,0,0,0
37,2019,"A",0,0,0,0
38,2019,"A",1,17.5,10,2
39,2019,"A",1,20.25,9,3
40,2019,"A",1,9,9,3
41,2019,"A",0,0,0,0
42,2019,"A",1,10.5,7,3
43,2019,"A",1,15,6,3
44,2019,"A",1,5,4,0
45,2019,"A",1,20,10,1
46,2019,"A",1,15,6,3
47,2019,"A",1,20.25,9,2
48,2019,"A",0,0,0,0
49,2019,"A",1,10.5,6,3
50,2019,"A",0,0,0,0
51,2019,"A",1,24.75,9,2
52,2019,"A",1,19.25,7,1
53,2019,"A",0,0,0,0
54,2019,"A",1,5,5,2
55,2019,"A",0,0,0,0
56,2019,"A",0,0,0,0
57,2019,"A",1,22,8,3
58,2019,"A",1,18,6,1
59,2019,"A",0,0,0,0
60,2019,"A",0,0,0,0
31,2019,"B",1,8,8,1
32,2019,"B",0,0,0,0
33,2019,"B",0,0,0,0
34,2019,"B",1,24.75,9,2
35,2019,"B",1,20,10,2
36,2019,"B",1,15,6,2
37,2019,"B",1,8.75,7,3
38,2019,"B",1,12,8,2
39,2019,"B",1,11.25,9,2
40,2019,"B",1,5,5,2
41,2019,"B",1,14,8,4
