id,prior_prob_count,prior_percent_correct,problems_attempted,mean_correct,mean_hint,mean_attempt,mean_confidence
172777,650,0.723076923,4,1,0,1,0.550159262
175658,1159,0.80069025,22,0.454545455,2.227272727,1.227272727,0.437514843
175669,1239,0.656981437,11,0.636363636,1.363636364,1.727272727,0.511060416
176151,1246,0.72953451,16,0.75,0.5625,1.1875,0.491577736
176165,1299,0.56812933,6,0.333333333,2.166666667,2,0.409886879
176168,1415,0.684805654,11,0.545454545,2,1.272727273,0.601511287
176461,753,0.499335989,11,0.363636364,2.090909091,2,0.442613511
176486,772,0.57642487,10,0.3,3.4,2.9,0.503996346
176488,529,0.674858223,19,0.421052632,2.315789474,1.736842105,0.517525602
176494,1226,0.644371941,12,0.25,2.916666667,1.666666667,0.587711925
176522,1206,0.647595357,12,0.583333333,1.833333333,1.416666667,0.407305607
176613,1139,0.696224759,22,0.5,2.136363636,1.545454545,0.521241021
176623,1326,0.781297134,10,0.8,1,1.2,0.639609675
176627,1195,0.710460251,12,0.416666667,2.166666667,1.583333333,0.536518876
176630,1192,0.61409396,17,0.352941176,2.294117647,1.529411765,0.416144086
177719,606,0.4669967,20,0.25,3.05,2.05,0.481286139
177725,596,0.498322148,13,0.307692308,2.076923077,11.15384615,0.701137084
191678,498,0.65060241,2,0.5,0,1,0.584215659
226336,1469,0.769060585,4,1,0,1,0.286297037
226440,1386,0.792388167,4,1,0,1,0.514446354
226444,1570,0.775159236,4,1,0,1,0.642682893
226724,846,0.752659574,6,0.833333333,0.833333333,1.166666667,0.579212358
226737,700,0.674285714,2,0.5,0,0.5,0.409770579
226822,1418,0.754760226,6,0.833333333,0.833333333,1.166666667,0.355478145
227012,1054,0.730313093,4,1,0,1,0.617225878
227014,1271,0.748623131,3,0.333333333,1.666666667,1.333333333,0.592955703
227114,1081,0.647548566,6,0.833333333,0.833333333,1.166666667,0.549077904
227979,1372,0.780612245,4,1,0,1,0.483305926
228539,1454,0.702372765,7,0.857142857,0,1.142857143,0.522270973
229126,398,0.854271357,4,1,0,1,0.504958953
229127,407,0.71990172,12,0.916666667,0,1.166666667,0.50682368
229130,398,0.653266332,3,0.333333333,1.666666667,1.333333333,0.396104372
229141,399,0.749373434,8,0.625,0.125,1.375,0.454881618
229147,387,0.757105943,8,1,0,1,0.661999076
229152,395,0.794936709,8,1,0,1,0.392982688
229153,400,0.8225,6,0.833333333,0,1.166666667,0.566521256
229156,398,0.904522613,4,1,0,1,0.46520367
229157,398,0.834170854,12,0.833333333,0.5,1.75,0.478793184
229165,391,0.501278772,7,0.714285714,1.285714286,1.571428571,0.69261843
229166,392,0.74744898,3,0.666666667,0,0.666666667,0.39193429
229167,399,0.746867168,2,0.5,0,1.5,0.440628712
229170,399,0.897243108,8,1,0,1,0.48774846
229179,398,0.83919598,32,0.53125,1.625,1.28125,0.610421774
229180,443,0.557562077,28,0.178571429,3.142857143,1.428571429,0.668724533
229182,313,0.552715655,22,0.136363636,3.545454545,1.272727273,0.415982792
229185,391,0.803069054,26,0.615384615,0.576923077,1.576923077,0.527301868
229186,398,0.861809045,4,1,0,1,0.548049162
229213,407,0.788697789,6,0.833333333,0,1.166666667,0.572374083
229218,394,0.710659898,15,0.666666667,1.466666667,1.533333333,0.546103957
229223,376,0.691489362,7,0.857142857,0.571428571,1.142857143,0.666503233
229225,390,0.676923077,2,0.5,0,1,0.714031522
229227,411,0.615571776,13,0.230769231,3,1.923076923,0.533744663
229244,399,0.847117794,34,0.911764706,0.147058824,1.117647059,0.420679259
229255,369,0.720867209,17,0.823529412,0.588235294,1.647058824,0.554563082
229270,398,0.753768844,10,0.7,0.5,1.9,0.304118555
229288,399,0.776942356,16,0.8125,0.625,1.5625,0.694145078
229290,355,0.766197183,2,0.5,0,1.5,0.328374402
229293,398,0.748743719,17,0.823529412,0,1.470588235,0.464063112
229294,395,0.8,11,0.909090909,0.363636364,1.090909091,0.46902623
229305,398,0.814070352,6,0.833333333,0.166666667,1.166666667,0.613074989
229307,366,0.557377049,29,0.689655172,1.275862069,1.551724138,0.480554969
229318,399,0.804511278,11,0.909090909,0,1.090909091,0.314249614
229319,300,0.593333333,3,0.333333333,1.666666667,1,0.613765292
229323,293,0.740614334,13,0.538461538,0.461538462,1.769230769,0.554589409
229326,383,0.817232376,4,1,0,1,0.490433548
229329,393,0.539440204,2,0.5,0,0.5,0.512550221
229332,310,0.690322581,2,0.5,2.5,1.5,0.391880719
229337,415,0.74939759,23,0.304347826,2.347826087,3.434782609,0.379273493
229338,399,0.789473684,2,0.5,0,1,0.526551671
229339,404,0.747524752,14,0.785714286,0.357142857,1.642857143,0.614423042
229342,397,0.788413098,14,0.857142857,0.714285714,1.428571429,0.535769726
229349,408,0.727941176,53,0.716981132,0.867924528,1.490566038,0.519016072
229350,401,0.74563591,42,0.738095238,0.428571429,1.666666667,0.244449778
229360,411,0.773722628,8,0.75,0,1.875,0.541856278
229372,409,0.542787286,6,0.833333333,0,1.5,0.474684525
229381,399,0.766917293,2,0.5,0,0.5,0.708299757
229396,398,0.851758794,34,0.411764706,2.235294118,1.441176471,0.396135886
229397,398,0.75879397,27,0.851851852,0.62962963,1.407407407,0.381375391
229407,398,0.907035176,14,0.928571429,0,1.285714286,0.392063461
229411,401,0.713216958,30,0.733333333,0.766666667,1.566666667,0.617672738
229421,402,0.723880597,12,1,0,1,0.658470332
229427,398,0.771356784,8,0.875,0.125,1.125,0.325515494
229430,403,0.799007444,4,1,0,1,0.628114281
229452,398,0.695979899,2,0.5,0,2,0.34114203
229460,403,0.771712159,7,0.714285714,0.714285714,2.428571429,0.500919017
